ActionAuditID~ActionAuditType~ActionBy~ActionTimeUTC~EntityID~EntityTypeID~HistoryToken
'1'~'Export Requested'~'580C4EC0-04C1-4496-B286-CFB127A2D988'~'2013-10-28 16:24:24'~'15'~'2'~'9395EE74-DE22-4D08-B00C-1599BE6D1CD4'
'33'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'65'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'34'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'66'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'35'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'67'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'36'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'19'~'1'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'37'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'31'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'38'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:16:29'~'32'~'2'~'92CB4105-7E7E-47D8-A4E7-EC911F7BDD95'
'39'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'13'~'1'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'40'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'38'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'41'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'39'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'42'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'40'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'43'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'41'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'44'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'42'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'45'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'43'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'46'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'44'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'47'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'45'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'48'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'46'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'49'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'47'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'50'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'48'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'51'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'49'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'52'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'50'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'53'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'51'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'54'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'52'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'55'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'53'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'56'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'54'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'57'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'55'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'58'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'56'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'59'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'57'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'60'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'58'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'61'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'59'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'62'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'60'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'63'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'61'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'64'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'62'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'65'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'63'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'66'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'64'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'67'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'65'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'68'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'66'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'69'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'67'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'70'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'19'~'1'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'71'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'31'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'72'~'Export Requested'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'~'2013-10-30 20:21:36'~'32'~'2'~'64B000E7-D75D-4A37-B895-94BB53BA19AB'
'73'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'19'~'1'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'74'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'31'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'75'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'32'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'76'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'69'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'77'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'13'~'1'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'78'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'38'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'79'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'39'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'80'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'40'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'81'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'41'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'82'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'42'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'83'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'43'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'84'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'44'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'85'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'45'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'86'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'46'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'87'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'47'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'88'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'48'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'89'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'49'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'90'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'50'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'91'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'51'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'92'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'52'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'93'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'53'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'94'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'54'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
