doc_MessageID~messageId~creationDateTime~sender~receiver~documentCount
'1'~'oim.201310221'~'2013-10-22 21:53:54'~'0838016003605'~'8380160030003'~'1'
'2'~'oim.201310232'~'2013-10-23 15:34:22'~'0838016003605'~'8380160030003'~'1'
'7'~'oim.201310237'~'2013-10-23 15:46:39'~'0838016003605'~'8380160030003'~'1'
'27'~'oim.2013102427'~'2013-10-24 15:46:01'~'0838016003605'~'8380160030003'~'1'
'32'~'oim.2013102432'~'2013-10-24 17:19:00'~'0838016003605'~'8380160030003'~'1'
'42'~'oim.2013102442'~'2013-10-24 18:49:02'~'0838016003605'~'8380160030003'~'2'
'47'~'oim.2013102447'~'2013-10-24 20:19:13'~'0838016003605'~'8380160030003'~'1'
'52'~'oim.2013102452'~'2013-10-24 21:05:49'~'0838016003605'~'8380160030003'~'1'
'55'~'oim.2013102455'~'2013-10-24 21:08:49'~'0838016003605'~'8380160030003'~'1'
'56'~'oim.2013102456'~'2013-10-24 21:09:49'~'0838016003605'~'8380160030003'~'1'
'57'~'oim.2013102457'~'2013-10-24 21:14:53'~'0838016003605'~'8380160030003'~'1'
'62'~'oim.2013102462'~'2013-10-24 21:39:01'~'0838016003605'~'8380160030003'~'1'
'67'~'oim.2013102467'~'2013-10-24 22:06:26'~'0838016003605'~'8380160030003'~'1'
'87'~'oim.2013102587'~'2013-10-25 19:50:04'~'0838016003605'~'8380160030003'~'1'
'92'~'oim.2013102592'~'2013-10-25 20:33:43'~'0838016003605'~'8380160030003'~'1'
'141'~'oim.20131028141'~'2013-10-28 14:40:19'~'0838016003605'~'8380160030003'~'1'
'151'~'oim.20131028151'~'2013-10-28 18:57:58'~'0838016003605'~'8380160030003'~'1'
'166'~'oim.20131029166'~'2013-10-29 19:00:12'~'0838016003605'~'8380160030003'~'1'
'240'~'oim.20131030240'~'2013-10-30 12:45:48'~'0838016003605'~'8380160030003'~'1'
'248'~'oim.20131030248'~'2013-10-30 14:46:08'~'0838016003605'~'8380160030003'~'1'
'263'~'oim.20131030263'~'2013-10-30 18:34:09'~'0838016003605'~'8380160030003'~'1'
'264'~'oim.20131030264'~'2013-10-30 20:04:14'~'0838016003605'~'8380160030003'~'1'
'265'~'oim.20131030265'~'2013-10-30 20:19:14'~'0838016003605'~'8380160030003'~'1'
'266'~'oim.20131031266'~'2013-10-31 06:59:23'~'0838016003605'~'8380160030003'~'1'
'267'~'oim.2013117267'~'2013-11-07 14:10:31'~'0838016003605'~'8380160030003'~'2'
'268'~'oim.2013117268'~'2013-11-07 22:40:43'~'0838016003605'~'8380160030003'~'1'
'269'~'oim.2013118269'~'2013-11-08 06:59:50'~'0838016003605'~'8380160030003'~'1'
'270'~'oim.2013118270'~'2013-11-08 10:59:54'~'0838016003605'~'8380160030003'~'1'
'271'~'oim.2013118271'~'2013-11-08 15:44:59'~'0838016003605'~'8380160030003'~'1'
'272'~'oim.2013118272'~'2013-11-08 15:59:59'~'0838016003605'~'8380160030003'~'3'
'273'~'oim.2013118273'~'2013-11-08 20:15:03'~'0838016003605'~'8380160030003'~'1'
'274'~'oim.2013118274'~'2013-11-08 22:00:05'~'0838016003605'~'8380160030003'~'1'
'275'~'oim.20131111275'~'2013-11-11 07:14:22'~'0838016003605'~'8380160030003'~'1'
'276'~'oim.20131111276'~'2013-11-11 08:59:23'~'0838016003605'~'8380160030003'~'1'
'277'~'oim.20131111277'~'2013-11-11 09:14:25'~'0838016003605'~'8380160030003'~'1'
'278'~'oim.20131111278'~'2013-11-11 09:44:25'~'0838016003605'~'8380160030003'~'1'
